Start=200
End=380
nm   Dark     1stReference 2ndReference
 203 5533.073800 5275.859003 0.000000
 204 5419.399684 5405.451696 0.000000
 205 5486.198469 5553.055422 0.000000
 206 5618.559742 5582.403479 0.000000
 207 5639.166998 5443.757893 0.000000
 208 5512.263858 5189.230644 0.000000
 209 5362.293964 4996.575948 0.000000
 210 5294.503802 5119.195536 0.000000
 211 5297.578482 5277.321934 0.000000
 212 5257.644602 5233.825085 0.000000
 213 5267.007572 5308.866541 0.000000
 214 5264.849386 5415.002976 0.000000
 215 5224.715348 5326.181893 0.000000
 216 5202.944318 5106.563391 0.000000
 217 5246.070963 5123.281796 0.000000
 218 5201.057351 5315.789189 0.000000
 219 5193.823064 5195.217741 0.000000
 220 5354.987162 5222.676593 0.000000
 221 5467.656521 5393.112301 0.000000
 222 5410.321365 5464.272914 0.000000
 223 5230.057459 5496.774342 0.000000
 224 5097.163138 5563.150998 0.000000
 225 5169.477118 5523.994788 0.000000
 226 5409.855578 5285.431638 0.000000
 227 5466.091459 5210.158709 0.000000
 228 5394.081400 5260.591062 0.000000
 229 5410.168272 5388.603385 0.000000
 230 5380.216644 5461.130652 0.000000
 231 5223.992119 5356.209068 0.000000
 232 5080.426662 5186.125261 0.000000
 233 5169.564782 5225.237103 0.000000
 234 5364.248410 5424.060065 0.000000
 235 5281.908595 5478.225248 0.000000
 236 5187.944352 5482.891557 0.000000
 237 5122.907887 5455.059732 0.000000
 238 5065.732022 5405.896377 0.000000
 239 5092.201616 5352.363364 0.000000
 240 5221.783021 5317.562353 0.000000
 241 5331.236546 5322.295313 0.000000
 242 5334.039842 5369.271889 0.000000
 243 5214.578408 5527.972480 0.000000
 244 5090.040777 5490.202490 0.000000
 245 5123.273726 5330.778771 0.000000
 246 5234.631128 5288.306565 0.000000
 247 5345.466107 5307.031199 0.000000
 248 5445.690136 5241.927801 0.000000
 249 5531.729579 5157.371871 0.000000
 250 5401.368429 5168.035805 0.000000
 251 5297.263104 5110.683903 0.000000
 252 5469.340608 5193.466856 0.000000
 253 5683.095121 5399.440534 0.000000
 254 5763.349084 5583.334928 0.000000
 255 5648.216642 5672.371161 0.000000
 256 5406.288452 5663.096443 0.000000
 257 5211.791256 5517.600039 0.000000
 258 5221.565813 5296.477832 0.000000
 259 5355.136829 5216.576142 0.000000
 260 5456.572974 5161.351158 0.000000
 261 5364.227453 5079.635962 0.000000
 262 5167.120631 5020.650360 0.000000
 263 5085.227933 5042.430515 0.000000
 264 5239.278235 5162.126494 0.000000
 265 5402.467094 5392.739496 0.000000
 266 5414.824171 5520.212505 0.000000
 267 5520.284962 5390.440082 0.000000
 268 5619.227410 5225.425031 0.000000
 269 5646.701907 5155.663095 0.000000
 270 5596.088335 5207.537185 0.000000
 271 5478.957185 5341.970556 0.000000
 272 5302.496890 5506.590646 0.000000
 273 5281.071291 5609.173819 0.000000
 274 5384.508712 5556.014917 0.000000
 275 5440.754278 5373.592535 0.000000
 276 5509.424720 5258.673088 0.000000
 277 5614.869492 5324.584495 0.000000
 278 5697.857013 5513.424954 0.000000
 279 5663.462745 5647.205735 0.000000
 280 5528.453192 5639.001726 0.000000
 281 5434.711353 5642.457646 0.000000
 282 5375.581106 5582.015043 0.000000
 283 5384.148638 5462.501711 0.000000
 284 5452.468243 5401.438420 0.000000
 285 5463.144636 5415.409530 0.000000
 286 5312.416097 5453.706436 0.000000
 287 5118.629503 5557.500000 0.000000
 288 5116.257661 5557.500000 0.000000
 289 5135.983064 5383.224623 0.000000
 290 5133.644015 5295.276478 0.000000
 291 5149.065126 5245.689458 0.000000
 292 5225.331543 5230.784588 0.000000
 293 5371.837192 5299.888516 0.000000
 294 5533.682298 5453.326749 0.000000
 295 5488.049660 5454.187742 0.000000
 296 5305.282224 5401.347930 0.000000
 297 5213.534319 5358.835371 0.000000
 298 5167.943246 5353.099917 0.000000
 299 5140.313539 5372.567983 0.000000
 300 5116.313725 5362.886767 0.000000
 301 5086.944995 5287.707277 0.000000
 302 5147.109811 5389.127967 0.000000
 303 5321.983503 5423.652328 0.000000
 304 5398.842719 5295.852550 0.000000
 305 5485.981937 5318.837249 0.000000
 306 5575.684158 5499.993195 0.000000
 307 5565.392785 5630.562609 0.000000
 308 5364.220201 5496.825932 0.000000
 309 5101.671663 5186.872797 0.000000
 310 5126.983934 5166.446268 0.000000
 311 5331.749339 5361.999339 0.000000
 312 5367.472705 5413.032348 0.000000
 313 5203.419899 5271.098784 0.000000
 314 5022.013699 5109.530081 0.000000
 315 5015.042419 5127.201234 0.000000
 316 5066.647005 5233.194056 0.000000
 317 5021.444259 5219.250905 0.000000
 318 5131.976433 5093.489921 0.000000
 319 5413.860871 5035.559395 0.000000
 320 5671.001287 5098.144430 0.000000
 321 5720.086489 5209.734369 0.000000
 322 5561.341439 5251.250000 0.000000
 323 5452.968109 5251.250000 0.000000
 324 5594.000921 5230.705712 0.000000
 325 5597.262764 5226.000000 0.000000
 326 5372.293556 5271.989215 0.000000
 327 5095.443998 5362.791815 0.000000
 328 4948.924207 5421.292768 0.000000
 329 4939.509216 5329.195402 0.000000
 330 5040.652443 5146.753505 0.000000
 331 5300.033070 5271.781880 0.000000
 332 5395.498812 5542.495958 0.000000
 333 5340.633085 5740.254684 0.000000
 334 5309.074275 5800.400165 0.000000
 335 5392.357805 5738.401116 0.000000
 336 5421.558789 5538.204048 0.000000
 337 5332.945817 5187.160354 0.000000
 338 5236.389422 5124.474555 0.000000
 339 5193.951841 5326.975398 0.000000
 340 5211.852659 5517.109439 0.000000
 341 5275.973803 5583.736049 0.000000
 342 5387.711536 5594.168269 0.000000
 343 5596.325745 5629.063954 0.000000
 344 5571.659125 5531.035400 0.000000
 345 5343.241261 5338.576380 0.000000
 346 5202.661005 5270.512876 0.000000
 347 5187.046679 5394.558694 0.000000
 348 5262.897103 5605.048853 0.000000
 349 5393.896907 5707.986327 0.000000
 350 5494.753136 5680.171240 0.000000
 351 5419.495662 5594.005593 0.000000
 352 5358.535420 5395.363663 0.000000
 353 5274.544159 5257.122087 0.000000
 354 5142.578487 5284.941072 0.000000
 355 5002.388859 5408.217532 0.000000
 356 4968.683043 5373.559962 0.000000
 357 5100.736814 5210.983329 0.000000
 358 5332.299813 5276.265149 0.000000
 359 5484.525078 5463.852757 0.000000
 360 5449.201527 5567.989939 0.000000
 361 5316.424210 5490.789372 0.000000
 362 5305.650770 5291.763320 0.000000
 363 5559.423846 5160.114569 0.000000
 364 5629.292082 5279.590430 0.000000
 365 5567.468844 5496.840257 0.000000
 366 5469.654680 5640.632575 0.000000
 367 5289.400758 5617.333331 0.000000
 368 5055.176176 5471.627812 0.000000
 369 4985.652754 5393.603473 0.000000
 370 5227.162493 5583.134738 0.000000
 371 5453.763250 5691.599788 0.000000
 372 5505.876733 5645.465017 0.000000
 373 5454.800355 5493.369117 0.000000
 374 5389.789358 5280.953649 0.000000
 375 5327.224595 5069.614347 0.000000
 376 5118.978219 5062.229724 0.000000
 377 5066.515614 5308.885058 0.000000
 378 5182.345724 5476.213626 0.000000
 379 5230.102519 5531.101887 0.000000
 380 5175.269405 5491.572721 0.000000
 381 0.000000 0.000000 0.000000
 382 0.000000 0.000000 0.000000
 383 0.000000 0.000000 0.000000
 384 0.000000 0.000000 0.000000
 385 0.000000 0.000000 0.000000
 386 0.000000 0.000000 0.000000
 387 0.000000 0.000000 0.000000
 388 0.000000 0.000000 0.000000
 389 0.000000 0.000000 0.000000
 390 0.000000 0.000000 0.000000
 391 0.000000 0.000000 0.000000
 392 0.000000 0.000000 0.000000
 393 0.000000 0.000000 0.000000
 394 0.000000 0.000000 0.000000
 395 0.000000 0.000000 0.000000
 396 0.000000 0.000000 0.000000
 397 0.000000 0.000000 0.000000
 398 0.000000 0.000000 0.000000
 399 0.000000 0.000000 0.000000
 400 0.000000 0.000000 0.000000
 401 0.000000 0.000000 0.000000
 402 0.000000 0.000000 0.000000
 403 0.000000 0.000000 0.000000
 404 0.000000 0.000000 0.000000
 405 0.000000 0.000000 0.000000
 406 0.000000 0.000000 0.000000
 407 0.000000 0.000000 0.000000
 408 0.000000 0.000000 0.000000
 409 0.000000 0.000000 0.000000
 410 0.000000 0.000000 0.000000
 411 0.000000 0.000000 0.000000
 412 0.000000 0.000000 0.000000
 413 0.000000 0.000000 0.000000
 414 0.000000 0.000000 0.000000
 415 0.000000 0.000000 0.000000
 416 0.000000 0.000000 0.000000
 417 0.000000 0.000000 0.000000
 418 0.000000 0.000000 0.000000
 419 0.000000 0.000000 0.000000
 420 0.000000 0.000000 0.000000
 421 0.000000 0.000000 0.000000
 422 0.000000 0.000000 0.000000
 423 0.000000 0.000000 0.000000
 424 0.000000 0.000000 0.000000
 425 0.000000 0.000000 0.000000
 426 0.000000 0.000000 0.000000
 427 0.000000 0.000000 0.000000
 428 0.000000 0.000000 0.000000
 429 0.000000 0.000000 0.000000
 430 0.000000 0.000000 0.000000
 431 0.000000 0.000000 0.000000
 432 0.000000 0.000000 0.000000
 433 0.000000 0.000000 0.000000
 434 0.000000 0.000000 0.000000
 435 0.000000 0.000000 0.000000
 436 0.000000 0.000000 0.000000
 437 0.000000 0.000000 0.000000
 438 0.000000 0.000000 0.000000
 439 0.000000 0.000000 0.000000
 440 0.000000 0.000000 0.000000
 441 0.000000 0.000000 0.000000
 442 0.000000 0.000000 0.000000
 443 0.000000 0.000000 0.000000
 444 0.000000 0.000000 0.000000
 445 0.000000 0.000000 0.000000
 446 0.000000 0.000000 0.000000
 447 0.000000 0.000000 0.000000
 448 0.000000 0.000000 0.000000
 449 0.000000 0.000000 0.000000
 450 0.000000 0.000000 0.000000
 451 0.000000 0.000000 0.000000
 452 0.000000 0.000000 0.000000
 453 0.000000 0.000000 0.000000
 454 0.000000 0.000000 0.000000
 455 0.000000 0.000000 0.000000
 456 0.000000 0.000000 0.000000
 457 0.000000 0.000000 0.000000
 458 0.000000 0.000000 0.000000
 459 0.000000 0.000000 0.000000
 460 0.000000 0.000000 0.000000
 461 0.000000 0.000000 0.000000
 462 0.000000 0.000000 0.000000
 463 0.000000 0.000000 0.000000
 464 0.000000 0.000000 0.000000
 465 0.000000 0.000000 0.000000
 466 0.000000 0.000000 0.000000
 467 0.000000 0.000000 0.000000
 468 0.000000 0.000000 0.000000
 469 0.000000 0.000000 0.000000
 470 0.000000 0.000000 0.000000
 471 0.000000 0.000000 0.000000
 472 0.000000 0.000000 0.000000
 473 0.000000 0.000000 0.000000
 474 0.000000 0.000000 0.000000
 475 0.000000 0.000000 0.000000
 476 0.000000 0.000000 0.000000
 477 0.000000 0.000000 0.000000
 478 0.000000 0.000000 0.000000
 479 0.000000 0.000000 0.000000
 480 0.000000 0.000000 0.000000
 481 0.000000 0.000000 0.000000
 482 0.000000 0.000000 0.000000
 483 0.000000 0.000000 0.000000
 484 0.000000 0.000000 0.000000
 485 0.000000 0.000000 0.000000
 486 0.000000 0.000000 0.000000
 487 0.000000 0.000000 0.000000
 488 0.000000 0.000000 0.000000
 489 0.000000 0.000000 0.000000
 490 0.000000 0.000000 0.000000
 491 0.000000 0.000000 0.000000
 492 0.000000 0.000000 0.000000
 493 0.000000 0.000000 0.000000
 494 0.000000 0.000000 0.000000
 495 0.000000 0.000000 0.000000
 496 0.000000 0.000000 0.000000
 497 0.000000 0.000000 0.000000
 498 0.000000 0.000000 0.000000
 499 0.000000 0.000000 0.000000
 500 0.000000 0.000000 0.000000
 501 0.000000 0.000000 0.000000
 502 0.000000 0.000000 0.000000
 503 0.000000 0.000000 0.000000
 504 0.000000 0.000000 0.000000
 505 0.000000 0.000000 0.000000
 506 0.000000 0.000000 0.000000
 507 0.000000 0.000000 0.000000
 508 0.000000 0.000000 0.000000
 509 0.000000 0.000000 0.000000
 510 0.000000 0.000000 0.000000
 511 0.000000 0.000000 0.000000
 512 0.000000 0.000000 0.000000
 513 0.000000 0.000000 0.000000
 514 0.000000 0.000000 0.000000
 515 0.000000 0.000000 0.000000
 516 0.000000 0.000000 0.000000
 517 0.000000 0.000000 0.000000
 518 0.000000 0.000000 0.000000
 519 0.000000 0.000000 0.000000
 520 0.000000 0.000000 0.000000
 521 0.000000 0.000000 0.000000
 522 0.000000 0.000000 0.000000
 523 0.000000 0.000000 0.000000
 524 0.000000 0.000000 0.000000
 525 0.000000 0.000000 0.000000
 526 0.000000 0.000000 0.000000
 527 0.000000 0.000000 0.000000
 528 0.000000 0.000000 0.000000
 529 0.000000 0.000000 0.000000
 530 0.000000 0.000000 0.000000
 531 0.000000 0.000000 0.000000
 532 0.000000 0.000000 0.000000
 533 0.000000 0.000000 0.000000
 534 0.000000 0.000000 0.000000
 535 0.000000 0.000000 0.000000
 536 0.000000 0.000000 0.000000
 537 0.000000 0.000000 0.000000
 538 0.000000 0.000000 0.000000
 539 0.000000 0.000000 0.000000
 540 0.000000 0.000000 0.000000
 541 0.000000 0.000000 0.000000
 542 0.000000 0.000000 0.000000
 543 0.000000 0.000000 0.000000
 544 0.000000 0.000000 0.000000
 545 0.000000 0.000000 0.000000
 546 0.000000 0.000000 0.000000
 547 0.000000 0.000000 0.000000
 548 0.000000 0.000000 0.000000
 549 0.000000 0.000000 0.000000
 550 0.000000 0.000000 0.000000
 551 0.000000 0.000000 0.000000
 552 0.000000 0.000000 0.000000
 553 0.000000 0.000000 0.000000
 554 0.000000 0.000000 0.000000
 555 0.000000 0.000000 0.000000
 556 0.000000 0.000000 0.000000
 557 0.000000 0.000000 0.000000
 558 0.000000 0.000000 0.000000
 559 0.000000 0.000000 0.000000
 560 0.000000 0.000000 0.000000
 561 0.000000 0.000000 0.000000
 562 0.000000 0.000000 0.000000
 563 0.000000 0.000000 0.000000
 564 0.000000 0.000000 0.000000
 565 0.000000 0.000000 0.000000
 566 0.000000 0.000000 0.000000
 567 0.000000 0.000000 0.000000
 568 0.000000 0.000000 0.000000
 569 0.000000 0.000000 0.000000
 570 0.000000 0.000000 0.000000
 571 0.000000 0.000000 0.000000
 572 0.000000 0.000000 0.000000
 573 0.000000 0.000000 0.000000
 574 0.000000 0.000000 0.000000
 575 0.000000 0.000000 0.000000
 576 0.000000 0.000000 0.000000
 577 0.000000 0.000000 0.000000
 578 0.000000 0.000000 0.000000
 579 0.000000 0.000000 0.000000
 580 0.000000 0.000000 0.000000
 581 0.000000 0.000000 0.000000
 582 0.000000 0.000000 0.000000
 583 0.000000 0.000000 0.000000
 584 0.000000 0.000000 0.000000
 585 0.000000 0.000000 0.000000
 586 0.000000 0.000000 0.000000
 587 0.000000 0.000000 0.000000
 588 0.000000 0.000000 0.000000
 589 0.000000 0.000000 0.000000
 590 0.000000 0.000000 0.000000
 591 0.000000 0.000000 0.000000
 592 0.000000 0.000000 0.000000
 593 0.000000 0.000000 0.000000
 594 0.000000 0.000000 0.000000
 595 0.000000 0.000000 0.000000
 596 0.000000 0.000000 0.000000
 597 0.000000 0.000000 0.000000
 598 0.000000 0.000000 0.000000
 599 0.000000 0.000000 0.000000
 600 0.000000 0.000000 0.000000
 601 0.000000 0.000000 0.000000
 602 0.000000 0.000000 0.000000
 603 0.000000 0.000000 0.000000
 604 0.000000 0.000000 0.000000
 605 0.000000 0.000000 0.000000
 606 0.000000 0.000000 0.000000
 607 0.000000 0.000000 0.000000
 608 0.000000 0.000000 0.000000
 609 0.000000 0.000000 0.000000
 610 0.000000 0.000000 0.000000
 611 0.000000 0.000000 0.000000
 612 0.000000 0.000000 0.000000
 613 0.000000 0.000000 0.000000
 614 0.000000 0.000000 0.000000
 615 0.000000 0.000000 0.000000
 616 0.000000 0.000000 0.000000
 617 0.000000 0.000000 0.000000
 618 0.000000 0.000000 0.000000
 619 0.000000 0.000000 0.000000
 620 0.000000 0.000000 0.000000
 621 0.000000 0.000000 0.000000
 622 0.000000 0.000000 0.000000
 623 0.000000 0.000000 0.000000
 624 0.000000 0.000000 0.000000
 625 0.000000 0.000000 0.000000
 626 0.000000 0.000000 0.000000
 627 0.000000 0.000000 0.000000
 628 0.000000 0.000000 0.000000
 629 0.000000 0.000000 0.000000
 630 0.000000 0.000000 0.000000
 631 0.000000 0.000000 0.000000
 632 0.000000 0.000000 0.000000
 633 0.000000 0.000000 0.000000
 634 0.000000 0.000000 0.000000
 635 0.000000 0.000000 0.000000
 636 0.000000 0.000000 0.000000
 637 0.000000 0.000000 0.000000
 638 0.000000 0.000000 0.000000
 639 0.000000 0.000000 0.000000
 640 0.000000 0.000000 0.000000
 641 0.000000 0.000000 0.000000
 642 0.000000 0.000000 0.000000
 643 0.000000 0.000000 0.000000
 644 0.000000 0.000000 0.000000
 645 0.000000 0.000000 0.000000
 646 0.000000 0.000000 0.000000
 647 0.000000 0.000000 0.000000
 648 0.000000 0.000000 0.000000
 649 0.000000 0.000000 0.000000
 650 0.000000 0.000000 0.000000
 651 0.000000 0.000000 0.000000
 652 0.000000 0.000000 0.000000
 653 0.000000 0.000000 0.000000
 654 0.000000 0.000000 0.000000
 655 0.000000 0.000000 0.000000
 656 0.000000 0.000000 0.000000
 657 0.000000 0.000000 0.000000
 658 0.000000 0.000000 0.000000
 659 0.000000 0.000000 0.000000
 660 0.000000 0.000000 0.000000
 661 0.000000 0.000000 0.000000
 662 0.000000 0.000000 0.000000
 663 0.000000 0.000000 0.000000
 664 0.000000 0.000000 0.000000
 665 0.000000 0.000000 0.000000
 666 0.000000 0.000000 0.000000
 667 0.000000 0.000000 0.000000
 668 0.000000 0.000000 0.000000
 669 0.000000 0.000000 0.000000
 670 0.000000 0.000000 0.000000
 671 0.000000 0.000000 0.000000
 672 0.000000 0.000000 0.000000
 673 0.000000 0.000000 0.000000
 674 0.000000 0.000000 0.000000
 675 0.000000 0.000000 0.000000
 676 0.000000 0.000000 0.000000
 677 0.000000 0.000000 0.000000
 678 0.000000 0.000000 0.000000
 679 0.000000 0.000000 0.000000
 680 0.000000 0.000000 0.000000
 681 0.000000 0.000000 0.000000
 682 0.000000 0.000000 0.000000
 683 0.000000 0.000000 0.000000
 684 0.000000 0.000000 0.000000
 685 0.000000 0.000000 0.000000
 686 0.000000 0.000000 0.000000
 687 0.000000 0.000000 0.000000
 688 0.000000 0.000000 0.000000
 689 0.000000 0.000000 0.000000
 690 0.000000 0.000000 0.000000
 691 0.000000 0.000000 0.000000
 692 0.000000 0.000000 0.000000
 693 0.000000 0.000000 0.000000
 694 0.000000 0.000000 0.000000
 695 0.000000 0.000000 0.000000
 696 0.000000 0.000000 0.000000
 697 0.000000 0.000000 0.000000
 698 0.000000 0.000000 0.000000
 699 0.000000 0.000000 0.000000
 700 0.000000 0.000000 0.000000
 701 0.000000 0.000000 0.000000
 702 0.000000 0.000000 0.000000
 703 0.000000 0.000000 0.000000
 704 0.000000 0.000000 0.000000
 705 0.000000 0.000000 0.000000
 706 0.000000 0.000000 0.000000
 707 0.000000 0.000000 0.000000
 708 0.000000 0.000000 0.000000
 709 0.000000 0.000000 0.000000
 710 0.000000 0.000000 0.000000
 711 0.000000 0.000000 0.000000
 712 0.000000 0.000000 0.000000
 713 0.000000 0.000000 0.000000
 714 0.000000 0.000000 0.000000
 715 0.000000 0.000000 0.000000
 716 0.000000 0.000000 0.000000
 717 0.000000 0.000000 0.000000
 718 0.000000 0.000000 0.000000
 719 0.000000 0.000000 0.000000
 720 0.000000 0.000000 0.000000
 721 0.000000 0.000000 0.000000
 722 0.000000 0.000000 0.000000
 723 0.000000 0.000000 0.000000
 724 0.000000 0.000000 0.000000
 725 0.000000 0.000000 0.000000
 726 0.000000 0.000000 0.000000
 727 0.000000 0.000000 0.000000
 728 0.000000 0.000000 0.000000
 729 0.000000 0.000000 0.000000
 730 0.000000 0.000000 0.000000
 731 0.000000 0.000000 0.000000
 732 0.000000 0.000000 0.000000
 733 0.000000 0.000000 0.000000
 734 0.000000 0.000000 0.000000
 735 0.000000 0.000000 0.000000
 736 0.000000 0.000000 0.000000
 737 0.000000 0.000000 0.000000
 738 0.000000 0.000000 0.000000
 739 0.000000 0.000000 0.000000
 740 0.000000 0.000000 0.000000
 741 0.000000 0.000000 0.000000
 742 0.000000 0.000000 0.000000
 743 0.000000 0.000000 0.000000
 744 0.000000 0.000000 0.000000
 745 0.000000 0.000000 0.000000
 746 0.000000 0.000000 0.000000
 747 0.000000 0.000000 0.000000
 748 0.000000 0.000000 0.000000
 749 0.000000 0.000000 0.000000
 750 0.000000 0.000000 0.000000
 751 0.000000 0.000000 0.000000
 752 0.000000 0.000000 0.000000
 753 0.000000 0.000000 0.000000
 754 0.000000 0.000000 0.000000
